month,Academic,Classes,CRM,aKDPhi,APAHW,CSA,FOTB,Oracle,PEER,WAX,Other,Recruiting,Social,Work
2009-01,3,38.5,5,10.3,0,0,11,0,0,28,12.5,6,30.5,17.3
2009-02,26.8,67,4,55.8,0.5,0,13.8,0,0,18,6,0,17.3,5.8
2009-03,20,53.5,4.5,88.5,4,0,21,0,0,7.5,2.5,0,20.5,23
2009-04,9,68,7,88.5,2,0,25.8,0,0,15,3,2.5,41,10
2009-05,21.5,0,2,11.5,0,0,2.5,0,0,1,1.5,0,22,59
2009-06,0,0,1,0,0,0,0,0,0,0,2,4,12,8
2009-07,0,0,35,0,0,0,0,0,0,0,0,0,19,16
2009-08,0,0,70,0,0,0,0,0,0,0,0,0,19.5,21.5
2009-09,2,63,5,43,7.5,0,4,0,0,14.5,4,5,14.5,79.3
2009-10,14.5,75.5,1.5,39.5,24.5,0,29,0,0,21.5,0,1,11,23.5
2009-11,17,70,5,43.5,0,0,46.5,0,0,14.5,1,6.5,25,11
2009-12,18,32.5,1.5,53,0,0,16,0,0,8.5,4.2,1,7.5,6
2010-01,2,38.5,4,50,0,0,9.5,0,0,13.5,54,7.5,12,5
2010-02,5.5,69,5,100.4,5,0,6,0,0,6,18.5,0,29,14
2010-03,27,55.5,1,49.4,10,0,2.5,0,0,13.5,19.5,8.5,12,8.3
2010-04,15.5,66,3,36.5,9,0,14.5,0,0,25,9,7,28.5,29.5
2010-05,8.5,0,0,5.5,1,0,0,0,0,0,1.5,0,9,132.5
2010-06,0,0,0,0,0,0,0,0,0,0,0,0,0,144
2010-07,0,0,0,0,1,0,0,0,0,0,0,0,124,2
2010-08,0,0,0,1.5,2,0,0,0,0,0,0,0,35,14
2010-09,22,69.3,3,68,19,0,4,0,0,14,0,1.5,15.5,34
2010-10,55.8,35,0,55.1,35,0,0,0,0,7,4,5,13.3,17.5
2010-11,47.5,40.5,2,25.3,4,0,9,0,0,33,2,1.5,6.5,28.3
2010-12,29.5,10.5,2.5,20,3,0,7,0,0,3,6.5,1,6,7.8
2011-01,6,51,0,48.3,5.5,0,5,0,0,1.5,9,16.5,16,9
2011-02,25.5,83.5,0,41,12.5,0,0,0,0,0,41,0,17.5,27
2011-03,17.5,51.5,2,90.7,19.5,0,0,0,0,0,34,20,27.5,12
2011-04,30.5,47.3,0.5,55.5,11.5,0,2,3,2,3,49,0,50.5,14
2011-05,3,0,0,0,3,0,0,0,1,0,2.5,0,3,0
2011-06,0,0,0,0,0,0,0,0,0,0,1,0,16.5,100
2011-07,0,0,0,0,11,0,0,0,0,0,0,0,53.5,206.5
2011-08,0,0,0,4,3.5,0,0,0,0,0,0,2.5,12.5,246.5
2011-09,4,50.5,0,11.5,14.8,8,0,6.3,2,0,17.5,37.5,6.5,26
2011-10,13.3,42.8,3,11.5,30,18,0,4.5,2.3,5.5,8.5,32,16.8,10
2011-11,18.5,45.5,0,11,5.5,34.8,1.5,2.5,7.5,0.5,5,9.5,13.4,12.5
2011-12,22.5,15,2.5,8,6.5,0,0,3.5,6,0,6,0,9,6.5
2012-01,0,61.8,0,14,1,0,0,1.5,3,4.5,29.5,1,33.5,18
2012-02,3.5,21.5,0,24.5,1.5,0,0,0,1,3,7.5,2,3,10
